,word,freq
1,climate,8010
2,change,7791
5,global,2574
6,warming,2423
7,trump,1444
8,believe,1427
9,doesn,1013
10,going,960
11,amp,688
12,die,613
13,real,593
14,world,574
15,president,572
16,people,567
17,thinking,530
18,husband,513
19,stephenschlegel,507
20,sjofonã,506
21,just,399
22,hoax,388
23,don,380
24,sensanders,377
25,elect,361
26,like,331
27,thinks,329
28,say,323
29,new,299
30,think,297
31,tã,296
32,right,286
33,donald,281
34,beforetheflood,268
35,watch,264
36,realdonaldtrump,258
37,chinese,254
38,make,248
39,fight,243
40,leodicaprio,242
41,millions,239
42,need,238
43,mr,238
44,science,237
45,denier,229
46,planet,227
47,natgeochannel,217
48,man,209
49,action,200
50,berniesanders,200
51,china,199
52,epa,199
53,stop,195
54,know,190
55,end,188
56,httã,187
57,isn,187
58,tackle,182
59,future,182
60,scientists,181
61,good,180
62,earth,174
63,hillary,163
64,want,158
65,deniers,156
66,years,155
67,america,155
68,time,154
69,iã,152
70,ll,148
71,issue,147
72,created,147
73,combat,146
74,really,146
75,travels,145
76,lkdehj3tnn,141
77,country,141
78,care,139
79,clinton,138
80,term,137
81,thing,135
82,solar,135
83,billion,135
84,today,134
85,does,132
86,sethmacfarlane,132
87,weather,131
88,non,130
89,half,129
90,cop22,125
91,help,124
92,concept,124
93,says,121
94,order,121
95,rights,119
96,degrees,118
97,believes,118
98,manufacturing,117
99,year,115
100,hrc,115
101,ice,114
102,human,113
103,snow,112
104,hoaxã,112
105,great,111
106,panels,111
107,vote,110
108,proposes,110
109,installing,110
110,said,109
111,energy,108
112,women,108
113,november,106
114,stake,105
115,denying,104
116,let,104
117,deny,103
118,look,101
119,leader,99
120,tell,98
121,elected,97
122,hope,96
123,changeã,95
124,climatechange,95
125,news,95
126,doesnã,95
127,way,94
128,imvotingbecause,93
129,environment,92
130,florida,91
131,address,90
132,cause,89
133,won,88
134,resources,88
135,day,87
136,government,87
137,pro,85
138,documentary,84
139,big,84
140,maybe,84
141,ve,83
142,denial,83
143,read,82
144,ëœâ,82
145,looks,82
146,cnn,81
147,biggest,81
148,competitiã,81
149,fuck,80
150,children,80
151,act,79
152,threat,79
153,choice,79
154,obama,78
155,water,77
156,head,77
157,dicaprio,76
158,effects,75
159,making,75
160,knows,75
161,called,74
162,talk,74
163,caused,74
164,election,74
165,national,73
166,start,73
167,research,73
168,penguin,73
169,flood,71
170,leonardo,70
171,fighting,70
172,states,70
173,white,70
174,2016,69
175,best,69
176,scientist,69
177,state,69
178,media,68
179,hey,68
180,equality,68
181,work,67
182,fake,67
183,denies,67
184,reform,67
185,immigration,67
186,al,66
187,join,65
188,cã,65
189,nasa,65
190,sea,64
191,gore,64
192,polar,64
193,fact,63
194,listen,63
195,got,63
196,outside,63
197,issues,63
198,saying,63
199,wants,63
200,old,63
201,problem,62
202,post,62
203,things,62
204,actually,62
205,guy,62
206,evidence,62
207,thatã,62
208,deal,62
209,united,62
210,literally,61
211,oil,61
212,house,61
213,did,60
214,cities,60
215,hot,60
216,bad,60
217,bleached,60
218,leading,59
219,nuclear,59
220,paris,59
221,major,59
222,bye,59
223,cold,58
224,point,58
225,kurteichenwald,58
226,anemones,58
227,cracks,58
228,important,57
229,anti,57
230,agreement,57
231,support,57
232,yes,56
233,debate,56
234,lead,56
235,conflict,56
236,frightening,56
237,political,55
238,exist,55
239,gonna,55
240,voted,55
241,hell,54
242,lol,54
243,impact,54
244,000,54
245,100,53
246,reality,53
247,age,53
248,combating,53
249,politics,53
250,money,53
251,ddlovato,53
252,ivotedbecause,53
253,comprehensive,53
254,come,52
255,doing,52
